system:index,-75739_37862,-75762_37844,-75793_37907,-75802_37916,-75811_37875,-75820_37812,-75843_37794,-75865_37718,-75887_37628,-75973_37776,-75991_37682,-76054_36923,-76054_37228,-76058_37583,-76081_37413,-76157_37489,-76161_37413,-76161_37588,-76166_36995,-76170_37911,-76175_37799,-76188_37691,-76206_37237,-76220_38320,-76229_38136,-76229_38315,-76265_38190,-76292_38320,-76305_38526,-76305_39164,-76337_38032,-76346_38023,-76346_39178,-76350_38576,-76373_37179,-76386_37237,-76386_37242,-76390_37219,-76390_37251,-76390_37260,-76390_38558,-76390_39151,-76413_38558,-76426_38113,-76431_38122,-76444_38059,-76444_38113,-76449_38086,-76655_38190,-76723_38190,-76768_38172,-76804_38176,imageID,timeMillis,.geo
T2000056_0,748.2000122070312,700.0,878.5999755859375,878.5999755859375,669.5999755859375,591.7999877929688,614.2000122070312,609.7999877929688,557.0,535.0,507.3999938964844,551.4000244140625,489.6000061035156,541.4000244140625,610.4000244140625,544.5999755859375,565.4000244140625,511.6000061035156,586.5999755859375,438.3999938964844,555.0,519.4000244140625,434.20001220703125,434.6000061035156,466.6000061035156,434.6000061035156,522.7999877929688,433.20001220703125,672.4000244140625,410.3999938964844,572.7999877929688,572.7999877929688,454.20001220703125,703.0,505.3999938964844,555.4000244140625,555.4000244140625,555.4000244140625,555.4000244140625,570.0,703.0,422.6000061035156,703.0,1649.800048828125,1649.800048828125,2581.0,1649.800048828125,1649.800048828125,1146.0,1363.4000244140625,931.0,759.4000244140625,T2000056,9.51429306E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000057_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000057,9.51509406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000058_0,,,,,,,,,,,,,510.6000061035156,,482.0,,489.6000061035156,,553.7999877929688,,,,520.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000058,9.51597906E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000059_0,601.2000122070312,593.0,845.0,845.0,582.0,565.7999877929688,588.4000244140625,511.79998779296875,480.79998779296875,479.6000061035156,431.20001220703125,507.6000061035156,405.6000061035156,440.0,450.6000061035156,415.20001220703125,427.0,417.20001220703125,516.2000122070312,453.6000061035156,585.0,457.0,432.6000061035156,,503.20001220703125,,546.0,634.2000122070312,597.7999877929688,,576.4000244140625,576.4000244140625,,576.7999877929688,528.7999877929688,578.5999755859375,578.5999755859375,578.5999755859375,578.5999755859375,542.7999877929688,587.0,,587.0,,,767.0,,,1345.5999755859375,1714.800048828125,2133.60009765625,1430.5999755859375,T2000059,9.51685205E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000060_0,,,,,860.5999755859375,,,,,772.0,,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000060,9.51770406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000061_0,,,,,,,,,,,,542.0,,,,,,,645.7999877929688,,,,1328.199951171875,,,,,,,,,,,,503.20001220703125,,,,,,,,,,,,,,,,,,T2000061,9.51858005E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000062_0,,,493.0,493.0,500.0,,,,,392.20001220703125,457.3999938964844,,,,,290.6000061035156,,327.6000061035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000062,9.51949805E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000063_0,,882.2000122070312,882.4000244140625,882.4000244140625,870.5999755859375,619.7999877929688,591.4000244140625,694.4000244140625,636.7999877929688,744.7999877929688,641.7999877929688,526.4000244140625,1297.0,656.5999755859375,787.5999755859375,601.7999877929688,650.7999877929688,655.0,,790.4000244140625,774.5999755859375,742.7999877929688,1101.199951171875,,875.0,,806.0,860.5999755859375,808.5999755859375,,920.2000122070312,920.2000122070312,,758.0,,,,,,,756.7999877929688,,756.7999877929688,,,4231.7998046875,,,,5968.2001953125,5946.2001953125,5650.39990234375,T2000063,9.52029606E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000064_0,514.5999755859375,497.20001220703125,484.0,484.0,484.6000061035156,,482.6000061035156,,,444.79998779296875,441.0,,387.6000061035156,413.6000061035156,427.6000061035156,466.79998779296875,485.6000061035156,434.3999938964844,464.3999938964844,486.3999938964844,530.5999755859375,489.6000061035156,408.79998779296875,,487.6000061035156,,502.6000061035156,557.2000122070312,534.7999877929688,,667.7999877929688,667.7999877929688,,488.79998779296875,542.7999877929688,566.2000122070312,566.2000122070312,566.2000122070312,566.2000122070312,,474.79998779296875,,474.79998779296875,,,801.5999755859375,,,988.2000122070312,867.0,862.7999877929688,964.7999877929688,T2000064,9.52118106E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000065_0,,,,,,,,,,521.5999755859375,469.79998779296875,506.79998779296875,368.3999938964844,464.79998779296875,615.0,490.3999938964844,623.2000122070312,375.3999938964844,539.4000244140625,475.3999938964844,489.3999938964844,392.0,433.6000061035156,,492.0,,549.4000244140625,573.2000122070312,730.5999755859375,,520.7999877929688,520.7999877929688,,660.4000244140625,594.2000122070312,497.6000061035156,497.6000061035156,497.6000061035156,497.6000061035156,,644.2000122070312,,644.2000122070312,,,,,,1591.199951171875,1744.0,1803.800048828125,1487.5999755859375,T2000065,9.52203006E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
